verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
LUMPENUS LUMPRETAEFORMIS,NA,Lumpenus lampretaeformis,154675,1380,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,Species
CHLOROPHTHALMUS AGASSIZI,NA,Chlorophthalmus agassizi,126336,1808,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Species
AMBLYRAJA RADIATA,NA,Amblyraja radiata,105865,2565,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Species
MYXINE GLUTINOSA,NA,Myxine glutinosa,101170,2513,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Myxine,Species
MALACORAJA SENTA,NA,Malacoraja senta,158554,2568,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Malacoraja,Species
MACROURIDAE,NA,Macrouridae,125471,NA,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,NA,Family
UROPHYCIS CHESTERI,NA,Phycis chesteri,158988,1880,Animalia,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,Species
SEBASTES FASCIATUS,NA,Sebastes fasciatus,127252,3969,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species
TRIGLOPS MURRAYI,NA,Triglops murrayi,127205,4146,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Triglops,Species
ASPIDOPHOROIDES MONOPTERYGIUS,NA,Aspidophoroides monopterygius,159459,4157,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Aspidophoroides,Species
OGCOCEPHALUS CORNIGER,NA,Ogcocephalus corniger,159192,3095,Animalia,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,Ogcocephalus,Species
POLLACHIUS VIRENS,NA,Pollachius virens,126441,1343,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,Species
HIPPOGLOSSUS HIPPOGLOSSUS,NA,Hippoglossus hippoglossus,127138,1371,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,Species
AMMODYTES DUBIUS,NA,Ammodytes dubius,151520,3821,Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,Species
ARTEDIELLUS SP,NA,Artediellus,126147,NA,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus,Genus
BROSME BROSME,NA,Brosme brosme,126447,51,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Brosme,Species
CYCLOPTERUS LUMPUS,NA,Cyclopterus lumpus,127214,62,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus,Species
ANARHICHAS LUPUS,NA,Anarhichas lupus,126758,2501,Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,Species
ETRUMEUS TERES,NA,Etrumeus sadina,584793,1455,Animalia,Chordata,Teleostei,Clupeiformes,Dussumieriidae,Etrumeus,Species
MYOXOCEPHALUS SCORPIUS,NA,Myoxocephalus scorpius,127203,1329,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,Species
CAREPROCTUS RANULA,NA,Careproctus ranula,159523,54217,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Careproctus,Species
NEZUMIA BAIRDI,NA,Nezumia bairdii,183289,3104,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Nezumia,Species
CRYPTACANTHODES MACULATUS,NA,Cryptacanthodes maculatus,159675,3815,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,Species
PETROMYZON MARINUS,NA,Petromyzon marinus,101174,2530,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Petromyzon,Species
DECAPTERUS MACARELLUS,NA,Decapterus macarellus,126807,993,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Species
MUSTELUS CANIS,NA,Mustelus canis,158518,2539,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Species
PRIONOTUS EVOLANS,NA,Prionotus evolans,159572,1244,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
POMATOMUS SALTATRIX,NA,Pomatomus saltatrix,151482,364,Animalia,Chordata,Teleostei,Scombriformes,Pomatomidae,Pomatomus,Species
BOTHIDAE,NA,Bothidae,125576,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,NA,Family
PLEURONECTIDAE,NA,Pleuronectidae,125579,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,NA,Family
PARALEPIS COREGONOIDES,NA,Paralepis coregonoides,126361,1757,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Paralepis,Species
PLEURONECTIFORMES,NA,Pleuronectiformes,10331,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,NA,NA,Order
POLYIPNUS CLARUS,NA,Polyipnus clarus,158840,47696,Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Polyipnus,Species
ALUTERUS SCHOEPFI,NA,Aluterus schoepfii,159490,1081,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus,Species
SCOMBERESOX SAURUS,NA,Scomberesox saurus,126392,1084,Animalia,Chordata,Teleostei,Beloniformes,Scomberesocidae,Scomberesox,Species
LUMPENUS MACULATUS,NA,Leptoclinus maculatus,127072,3788,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,Species
CHAULIODUS SLOANI,NA,Chauliodus sloani,127338,1786,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,Species
LYCENCHELYS VERRILLI,NA,Lycenchelys verrillii,159258,3132,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys,Species
GADIDAE,NA,Gadidae,125469,NA,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,NA,Family
OSMERUS MORDAX,NA,Osmerus mordax,126737,253,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus,Species
ANCHOA HEPSETUS,NA,Anchoa hepsetus,158698,1133,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,Species
SYMPHURUS SP,NA,Symphurus,126113,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,Genus
ZENOPSIS CONCHIFERA,NA,Zenopsis conchifer,127426,336,Animalia,Chordata,Teleostei,Zeiformes,Zeidae,Zenopsis,Species
ARGYROPELECUS ACULEATUS,NA,Argyropelecus aculeatus,127306,130,Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,Species
LYCODES RETICULATUS,NA,Lycodes reticulatus,127112,3143,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species
SELAR CRUMENOPHTHALMUS,NA,Selar crumenophthalmus,159646,387,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Selar,Species
HYPORHAMPHUS UNIFASCIATUS,NA,Hyporhamphus unifasciatus,159281,1060,Animalia,Chordata,Teleostei,Beloniformes,Hemiramphidae,Hyporhamphus,Species
MYOXOCEPHALUS AENAEUS,NA,Myoxocephalus aenaeus,159519,4117,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,Species
ULVARIA SUBBIFURCATA,NA,Ulvaria subbifurcata,159821,3796,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Ulvaria,Species
MELANOSTIGMA ATLANTICUM,NA,Melanostigma atlanticum,127120,3150,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Melanostigma,Species
MONACANTHUS HISPIDUS,NA,Stephanolepis hispida,307126,4281,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Monacanthus,Species
PHOLIS GUNNELLUS,NA,Pholis gunnellus,126996,3804,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,Species
CHLOROPHTHALMIDAE,NA,Chlorophthalmidae,125442,NA,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,NA,Family
ARCTOZENUS RISSOI,NA,Arctozenus risso,126352,6977,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Arctozenus,Species
CERATOSCOPELUS MADERENSIS,NA,Ceratoscopelus maderensis,126585,621,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Ceratoscopelus,Species
ALOSA MEDIOCRIS,NA,Alosa mediocris,158668,1582,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Species
POLYMIXIA NOBILIS,NA,Polymixia nobilis,127163,7557,Animalia,Chordata,Teleostei,Polymixiiformes,Polymixiidae,Polymixia,Species
CHLOROPHTHALMUS SP,NA,Chlorophthalmus,125664,NA,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Genus
MYCTOPHUM PUNCTATUM,NA,Myctophum punctatum,126627,1328,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Myctophum,Species
APOGONIDAE,NA,Apogonidae,125518,NA,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,NA,Family
"NAUCRATES DUCTOR",NA,Naucrates ductor,126811,998,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Naucrates,Species
MONOLENE SESSILICAUDA,NA,Monolene sessilicauda,159213,4227,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Monolene,Species
BENTHOSEMA GLACIALE,NA,Benthosema glaciale,126580,21,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Benthosema,Species
GASTEROSTEUS ACULEATUS,NA,Gasterosteus aculeatus,126505,2420,Animalia,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,Species
MALLOTUS VILLOSUS,NA,Mallotus villosus,126735,252,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,Species
LIPARIS INQUILINUS,NA,Liparis inquilinus,159528,4195,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Liparis,Species
EUMICROTREMUS SPINOSUS,NA,Eumicrotremus spinosus,127217,4185,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,Species
CARCHARIAS TAURUS,NA,Carcharias taurus,105843,747,Animalia,Chordata,Elasmobranchii,Lamniformes,Odontaspididae,Carcharias,Species
DIAPHUS DUMERILI,NA,Diaphus dumerilii,126590,6590,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Species
HYPEROGLYPHE PERCIFORMIS,NA,Hyperoglyphe perciformis,126832,3921,Animalia,Chordata,Teleostei,Scombriformes,Centrolophidae,Hyperoglyphe,Species
